596),59.9,3.7,31,CHI-6,"Tillman, Charles"
597),56.3,3.5,25,BUF-8,"Byrd, Jairus"
598),54.8,3.4,29,GB -10,"Peprah, Charlie"
599),52.7,3.3,28,IND-4,"Bethea, Antoine"
600),51.9,3.2,31,STL-9,"Mikell, Quintin"
601),51.7,4,31,BUF-8,"Wilson, George"
602),50.6,3.2,23,GB -10,"Burnett, Morgan"
603),50,3.1,28,CIN-8,"Nelson, Reggie"
604),49.8,3.1,27,SD -7,"Weddle, Eric"
605),49.3,3.3,25,TEN-11,"McCourty, Jason"
606),48.9,3.3,35,GB -10,"Woodson, Charles"
607),48,3,29,NO -6,"Harper, Roman"
608),47.6,3.2,24,SEA-11,"Chancellor, Kam"
609),46.1,2.9,34,NYJ-9,"Bell, Yeremiah"
610),45.9,2.9,26,NE -9,"Arrington, Kyle"
611),45,2.8,25,RAI-5,"Branch, Tyvon"
612),44.9,2.8,23,SEA-11,"Thomas, Earl"
613),44.6,2.8,30,TEN-11,"Babineaux, Jordan"
614),44.6,2.8,29,NYG-11,"Rolle, Antrel"
615),44.6,3.2,27,DET-5,"Houston, Chris"
616),44.6,2.8,31,PIT-4,"Polamalu, Troy"
617),43.9,2.7,28,WAS-10,"Hall, DeAngelo"
618),43.8,2.7,27,ATL-7,"DeCoud, Thomas"
619),43.6,2.7,29,JAC-6,"Landry, Dawan"
620),42.5,2.8,24,STL-9,"Stewart, Darian"
621),42.5,2.8,25,NYG-11,"Phillips, Kenny"
622),42.3,2.6,28,SEA-11,"Browner, Brandon"
623),42.2,2.6,32,PIT-4,"Clark, Ryan"
624),41,2.6,26,BAL-8,"Webb, Lardarius"
625),40.8,2.6,37,TB -5,"Barber, Ronde"
626),40.5,2.9,27,SF -9,"Goldson, Dashon"
627),40.3,2.7,24,PHI-7,"Coleman, Kurt"
628),40,2.5,27,MIA-7,"Marshall, Richard"
629),39,2.4,27,NYJ-9,"Revis, Darrelle"
630),38.5,2.6,29,GB -10,"Williams, Tramon"
631),38.4,2.4,27,TB -5,"Wright, Eric"
632),38.1,2.7,25,NE -9,"McCourty, Devin"
633),37.8,2.7,26,CAR-6,"Godfrey, Charles"
634),37.5,2.5,24,DET-5,"Spievey, Amari"
635),37.4,2.3,27,BAL-8,"Pollard, Bernard"
636),37,2.3,24,KC -7,"Lewis, Kendrick"
637),36.8,2.3,28,CHI-6,"Jennings, Tim"
638),35.7,2.2,29,DAL-5,"Sensabaugh, Gerald"
639),35,2.2,26,KC -7,"Flowers, Brandon"
640),34.7,2.2,27,TEN-11,"Griffin, Michael"
641),34.7,2.3,24,NO -6,"Jenkins, Malcolm"
642),34.6,2.3,27,SF -9,"Whitner, Donte"
643),34.5,2.2,28,STL-9,"Finnegan, Cortland"
644),33.6,2.1,31,SF -9,"Rogers, Carlos"
645),33.2,2.1,30,NYG-11,"Webster, Corey"
646),33.1,2.1,32,ARI-10,"Wilson, Adrian"
647),31.9,2.1,32,CIN-8,"Clements, Nate"
648),31.1,2.6,24,CHI-6,"Wright, Major"
649),31,1.9,24,SEA-11,"Sherman, Richard"
650),30.4,1.9,31,DEN-7,"Adams, Mike"
651),30.3,2.5,27,ATL-7,"Moore, William"
652),30.2,2,29,NE -9,"Gregory, Steve"
